Date,Time,Load,Temperature,Wind Speed
2/13/2004,12:00:00 AM,41.41737437,27.37852318,9.79756958
2/13/2004,1:00:00 AM,35.30047311,27.04444838,11.04593782
2/13/2004,2:00:00 AM,33.68727321,27.33285189,9.419478303
2/13/2004,3:00:00 AM,34.05248798,24.87065982,9.233336394
2/13/2004,4:00:00 AM,37.86371269,24.09640993,16.38179292
2/13/2004,5:00:00 AM,51.66769449,24.72008266,8.025349214
2/13/2004,6:00:00 AM,75.16036751,24.99461143,11.97403026
2/13/2004,7:00:00 AM,84.38106478,24.36438001,9.255181261
2/13/2004,8:00:00 AM,86.53277291,26.47352531,10.74821427
2/13/2004,9:00:00 AM,87.86870352,29.56420861,14.61743612
2/13/2004,10:00:00 AM,83.09944941,31.6047026,14.65114295
2/13/2004,11:00:00 AM,83.28471874,32.08607158,17.23590449
2/13/2004,12:00:00 PM,75.93701528,36.86799101,14.76938316
2/13/2004,1:00:00 PM,76.25517111,37.84153339,23.38938459
2/13/2004,2:00:00 PM,70.22448602,38.46790113,18.64227732
2/13/2004,3:00:00 PM,70.44732186,38.79607779,20.7390072
2/13/2004,4:00:00 PM,71.12072877,40.84607462,9.022953907
2/13/2004,5:00:00 PM,82.57838488,38.6509491,14.64272399
2/13/2004,6:00:00 PM,98.99858925,36.25520363,5.021422099
2/13/2004,7:00:00 PM,99.34795652,34.08743313,0.141423164
2/13/2004,8:00:00 PM,93.31264152,29.21146344,-0.804492837
2/13/2004,9:00:00 PM,82.64682964,27.24098935,0.001489846
2/13/2004,10:00:00 PM,71.50465332,24.12095415,0.379327516
2/13/2004,11:00:00 PM,52.22391036,22.10355964,0.734220391
2/14/2004,12:00:00 AM,41.02789937,21.23838163,0.707581906
2/14/2004,1:00:00 AM,36.66276018,20.67651178,-0.870761567
2/14/2004,2:00:00 AM,31.97286116,21.34715326,0.329028647
2/14/2004,3:00:00 AM,31.65534286,18.88074987,0.665967034
2/14/2004,4:00:00 AM,32.47168785,18.49432864,0.557597006
2/14/2004,5:00:00 AM,35.79101189,18.49488078,-0.206853239
2/14/2004,6:00:00 AM,44.45818999,19.36293632,-0.559118719
2/14/2004,7:00:00 AM,54.97893994,18.94238131,-0.548302623
2/14/2004,8:00:00 AM,65.00575593,22.5297038,-0.367620055
2/14/2004,9:00:00 AM,71.44563718,29.80458373,0.678096722
2/14/2004,10:00:00 AM,67.67290579,33.80348874,-0.95299154
2/14/2004,11:00:00 AM,66.89767514,37.05191087,-0.483405259
2/14/2004,12:00:00 PM,59.68190124,43.37063104,-0.334966216
2/14/2004,1:00:00 PM,51.59620349,48.31675662,-0.051983797
2/14/2004,2:00:00 PM,48.96569078,51.0644646,-0.804491629
2/14/2004,3:00:00 PM,45.21826112,55.75712485,7.281710777
2/14/2004,4:00:00 PM,50.68109727,54.96529886,13.43905116
2/14/2004,5:00:00 PM,62.32455861,53.61161024,10.3282129
2/14/2004,6:00:00 PM,80.31964535,49.11555414,8.732732503
2/14/2004,7:00:00 PM,74.54410186,48.7320321,6.665472746
2/14/2004,8:00:00 PM,67.33961951,37.92563399,-0.961342497
2/14/2004,9:00:00 PM,63.91877552,32.55918709,3.405048057
2/14/2004,10:00:00 PM,49.36976705,31.98616102,0.147928238
2/14/2004,11:00:00 PM,41.27672757,29.32443734,0.115669569
2/15/2004,12:00:00 AM,27.67326003,27.32905796,0.162595261
2/15/2004,1:00:00 AM,24.66453895,27.54237839,0.485262419
2/15/2004,2:00:00 AM,20.79495645,26.7456042,0.348012634
2/15/2004,3:00:00 AM,18.71283748,25.17044741,0.799248808
2/15/2004,4:00:00 AM,21.91724335,23.01372341,0.572855101
2/15/2004,5:00:00 AM,25.02917999,23.77471704,0.80345772
2/15/2004,6:00:00 AM,30.17807599,22.85719092,-0.751775456
2/15/2004,7:00:00 AM,37.1031207,22.43884951,-0.733315416
2/15/2004,8:00:00 AM,49.46899602,29.58639513,0.105026632
2/15/2004,9:00:00 AM,57.31123057,36.46587122,-0.55118688
2/15/2004,10:00:00 AM,57.63430774,43.41531075,5.848496261
2/15/2004,11:00:00 AM,60.98558008,45.75263088,-0.125462477
2/15/2004,12:00:00 PM,56.11396192,50.6637563,-0.333663752
2/15/2004,1:00:00 PM,50.9287388,51.19420363,3.838253479
2/15/2004,2:00:00 PM,49.91156871,52.77383776,6.751848896
2/15/2004,3:00:00 PM,48.21511708,56.8329164,0.361380045
2/15/2004,4:00:00 PM,50.55147987,57.41843701,6.499054741
2/15/2004,5:00:00 PM,67.50323252,55.44208063,6.334471039
2/15/2004,6:00:00 PM,88.84400525,50.61648808,6.896594651
2/15/2004,7:00:00 PM,85.24339765,49.91035102,-0.318826719
2/15/2004,8:00:00 PM,80.9909871,45.49267797,8.744528109
2/15/2004,9:00:00 PM,65.33852907,50.22398098,4.802239551
2/15/2004,10:00:00 PM,50.89461002,46.39207187,5.613124966
2/15/2004,11:00:00 PM,34.4233703,48.16598309,5.161563002
2/16/2004,12:00:00 AM,19.37916715,39.87319681,2.89879898
2/16/2004,1:00:00 AM,14.24246687,39.51765447,0.147306357
2/16/2004,2:00:00 AM,12.9643981,35.58454243,5.01895172
2/16/2004,3:00:00 AM,13.28108917,33.83239,-0.375667131
2/16/2004,4:00:00 AM,18.49384447,30.00872819,0.164224049
2/16/2004,5:00:00 AM,29.3509921,30.282954,-0.798121749
2/16/2004,6:00:00 AM,54.9722615,30.45759047,-0.94277552
